x	y
0.00799058	1.00688
0.0162143	1.00688
0.0244379	1.00688
0.0326616	1.00688
0.0408853	1.00688
0.049109	1.00688
0.0573327	1.00688
0.0655564	1.00688
0.0737801	1.00688
0.0820037	1.00688
0.0902274	1.00688
0.0984511	1.00688
0.106675	1.00688
0.114898	1.00688
0.123122	1.00688
0.131346	1.00688
0.13957	1.00688
0.147793	1.00688
0.156017	1.00688
0.164241	1.00688
0.172464	1.00688
0.180688	1.00688
0.188912	1.00688
0.197135	1.00688
0.2049	1.98332
0.212581	3.13915
0.220694	3.37393
0.228863	3.48951
0.23705	3.56777
0.24525	3.61834
0.253455	3.65807
0.261666	3.68576
0.269879	3.70863
0.278093	3.7291
0.28631	3.74355
0.29453	3.75198
0.302748	3.76281
0.310967	3.77245
0.319189	3.77726
0.327409	3.78449
0.33563	3.7893
0.343851	3.79532
0.352074	3.79773
0.360295	3.80375
0.368516	3.80977
0.376738	3.81218
0.384958	3.82061
0.393179	3.82542
0.4014	3.83144
0.409619	3.84228
0.417837	3.85432
0.426053	3.86997
0.434271	3.88201
0.442511	3.8483
0.450797	3.71465
0.45908	3.58824
0.467319	3.55573
0.475543	3.55452
0.483768	3.55332
0.491991	3.55332
0.500214	3.55452
0.508438	3.55573
0.516661	3.55573
0.524885	3.55573
0.533109	3.55573
0.541332	3.55693
0.549554	3.56054
0.557776	3.56416
0.565998	3.56656
0.574222	3.56656
0.582446	3.56656
0.590668	3.56897
0.59889	3.57258
0.607113	3.57499
0.615335	3.5774
0.623559	3.5774
0.631782	3.5786
0.640005	3.57981
0.648227	3.58342
0.656451	3.58342
0.664673	3.58703
0.672896	3.58824
0.681119	3.59064
0.689341	3.59305
0.697564	3.59546
0.705786	3.59907
0.714009	3.59907
0.722234	3.59787
0.730457	3.59907
0.738678	3.60509
0.746899	3.6087
0.755123	3.60991
0.763344	3.61472
0.771563	3.62556
0.779778	3.64241
0.787992	3.66409
0.796205	3.68696
0.804419	3.70743
0.812637	3.71947
0.820857	3.72669
0.82908	3.7279
0.837302	3.73151
0.845523	3.73873
0.853744	3.74355
0.861965	3.74957
0.870186	3.75559
0.878406	3.76281
0.886626	3.77124
0.894847	3.77726
0.903067	3.78328
0.911286	3.79412
0.919506	3.80134
0.927726	3.80977
0.935946	3.8182
0.944166	3.82542
0.952387	3.83144
0.960607	3.83867
0.968828	3.84589
0.977049	3.85071
0.98527	3.85552
0.993492	3.86034
0.207003	1.00929
0.205205	1.33437
0.205063	1.63777
0.204971	1.83282
0.204772	2.25542
0.204676	2.4613
0.204564	2.69969
0.204472	2.89474
0.206081	2.97059
0.209365	2.98142
0.209345	3.02477
