x	y
-1.79E-04	1.05591
-1.60E-04	0.938583
0.00808232	0.990087
0.0163343	0.982929
0.0245852	0.982673
0.0328361	0.982417
0.0410869	0.982161
0.0493378	0.981904
0.0575887	0.981648
0.0658395	0.981392
0.0740904	0.981136
0.0823413	0.98088
0.0905921	0.980623
0.098843	0.980367
0.107094	0.980111
0.115345	0.979855
0.123596	0.979598
0.131846	0.979342
0.140097	0.979086
0.148348	0.97883
0.156599	0.978573
0.16485	0.978317
0.173101	0.978061
0.181352	0.977805
0.189603	0.977548
0.197853	0.977292
0.205365	5.45946
0.212957	9.44818
0.22129	8.95103
0.229596	8.61606
0.237892	8.3432
0.246181	8.11175
0.254464	7.91825
0.262743	7.74891
0.271022	7.57267
0.279297	7.42749
0.28757	7.29611
0.295843	7.16127
0.304111	7.05405
0.312383	6.92612
0.32065	6.83269
0.328919	6.72201
0.337184	6.63549
0.345449	6.54897
0.353711	6.4797
0.361977	6.38627
0.370238	6.32391
0.3785	6.25809
0.386761	6.19572
0.395022	6.1368
0.403282	6.07788
0.411539	6.03967
0.4198	5.98075
0.428057	5.94599
0.436314	5.90432
0.444571	5.86956
0.452827	5.83825
0.461085	5.79658
0.469339	5.77217
0.477593	5.75466
0.485849	5.7268
0.494103	5.70239
0.502357	5.68488
0.51061	5.67082
0.518863	5.66021
0.527116	5.64616
0.535369	5.63555
0.543621	5.62839
0.551873	5.61778
0.560124	5.61753
0.568377	5.60692
0.576628	5.60321
0.584879	5.5995
0.593131	5.59235
0.601383	5.58519
0.609634	5.58493
0.617885	5.58468
0.626136	5.58442
0.634387	5.58071
0.64264	5.57355
0.650891	5.56985
0.659142	5.56614
0.667394	5.55898
0.675646	5.55528
0.683897	5.55157
0.692149	5.54786
0.7004	5.54416
0.708652	5.537
0.716903	5.53674
0.725154	5.53649
0.733405	5.53623
0.741656	5.53597
0.749906	5.53917
0.758155	5.54926
0.766399	5.59042
0.774643	5.63502
0.78288	5.71758
0.79111	5.84155
0.799337	5.98967
0.80757	6.09638
0.815815	6.13063
0.824066	6.13038
0.832317	6.13012
0.840568	6.12986
0.848818	6.12961
0.857069	6.12935
0.86532	6.1291
0.873571	6.12884
0.881822	6.12858
0.890073	6.12833
0.898324	6.12807
0.906574	6.12781
0.914825	6.12756
0.923076	6.1273
0.931327	6.12705
0.939577	6.13369
0.947828	6.13344
0.956078	6.13663
0.964329	6.13292
0.97258	6.13267
0.980831	6.13586
0.989082	6.13215
0.997333	6.1319
0.206097	1.01844
0.204165	2.72658
0.204447	1.0185
0.205554	4.31039
0.203453	7.04337
0.20331	7.91294
0.203166	8.78251
0.204719	9.37252
0.204642	9.83836
0.206297	9.80726
0.202982	9.90053
0.202997	9.80736
0.207983	9.58981
