x	y
0	0.99742
0.00825083	0.99742
0.0165017	0.996388
0.0247525	0.996388
0.0330033	0.996388
0.0412541	0.996388
0.049505	0.996388
0.0577558	0.996388
0.0660066	0.996388
0.0742574	0.996388
0.0825083	0.996388
0.0907591	0.996388
0.0990099	0.996388
0.107261	0.996388
0.115512	0.996388
0.123762	0.996388
0.132013	0.996388
0.140264	0.996388
0.148515	0.996388
0.156766	0.996388
0.165017	0.996388
0.173267	0.996388
0.181518	0.996388
0.189769	0.996388
0.19802	0.99742
0.206271	2.18318
0.214521	3.00361
0.222772	2.69814
0.231023	2.53096
0.239274	2.41125
0.247525	2.32043
0.255776	2.2451
0.264026	2.18421
0.272277	2.12848
0.280528	2.07998
0.288779	2.03767
0.29703	1.99948
0.305281	1.96233
0.313531	1.92621
0.321782	1.89628
0.330033	1.86533
0.338284	1.84262
0.346535	1.81682
0.354785	1.79102
0.363036	1.77038
0.371287	1.74561
0.379538	1.72601
0.387789	1.7064
0.39604	1.68885
0.40429	1.66925
0.412541	1.65583
0.420792	1.63416
0.429043	1.61455
0.437294	1.6001
0.445545	1.61352
0.453795	1.68369
0.462046	1.73633
0.470297	1.73839
0.478548	1.73426
0.486799	1.7291
0.49505	1.72394
0.5033	1.71878
0.511551	1.71465
0.519802	1.71053
0.528053	1.70537
0.536304	1.7033
0.544554	1.69917
0.552805	1.69814
0.561056	1.69298
0.569307	1.69092
0.577558	1.68782
0.585809	1.68576
0.594059	1.68473
0.60231	1.68369
0.610561	1.68163
0.618812	1.67957
0.627063	1.6775
0.635314	1.67544
0.643564	1.67441
0.651815	1.67234
0.660066	1.67028
0.668317	1.66718
0.676568	1.66615
0.684818	1.66202
0.693069	1.66099
0.70132	1.65996
0.709571	1.65789
0.717822	1.65583
0.726073	1.65686
0.734323	1.65583
0.742574	1.65377
0.750825	1.65377
0.759076	1.65789
0.767327	1.66099
0.775578	1.67647
0.783828	1.68989
0.792079	1.71775
0.80033	1.74665
0.808581	1.76729
0.816832	1.77451
0.825083	1.77245
0.833333	1.77141
0.841584	1.76832
0.849835	1.76729
0.858086	1.76316
0.866337	1.76006
0.874587	1.75903
0.882838	1.75387
0.891089	1.75181
0.89934	1.74974
0.907591	1.74458
0.915842	1.73942
0.924092	1.73633
0.932343	1.7322
0.940594	1.73013
0.948845	1.72601
0.957096	1.72188
0.965347	1.71878
0.973597	1.71672
0.981848	1.71362
0.990099	1.71259
0.99835	1.70846
0.206271	1.00155
0.206271	1.28019
0.206271	1.54954
0.206271	1.86533
0.20462	2.39474
0.20462	2.61765
0.20462	2.82198
0.206271	3.05418
0.206271	3.32353
0.206271	3.30495
0.207921	3.32353
0.209571	3.14706
0.211221	3.09133
