x	y
0.00658979	0.995324
0.014827	0.994222
0.0230643	0.994146
0.0313015	0.99407
0.0395387	0.993994
0.0477759	0.993918
0.0560132	0.993842
0.0642504	0.993766
0.0724876	0.99369
0.0807249	0.993614
0.0889621	0.993538
0.0971993	0.993462
0.105437	0.993386
0.113674	0.99331
0.121911	0.993234
0.130148	0.993158
0.138386	0.993082
0.146623	0.993006
0.15486	0.992929
0.163097	0.992853
0.171334	0.992777
0.179572	0.992701
0.187809	0.992625
0.196046	0.992549
0.204283	-0.139834
0.212521	-1.18196
0.220758	-1.0487
0.228995	-0.964678
0.237232	-0.900139
0.24547	-0.84483
0.253707	-0.795675
0.261944	-0.754726
0.270181	-0.71275
0.278418	-0.676929
0.286656	-0.647261
0.294893	-0.614517
0.30313	-0.584849
0.311367	-0.557233
0.319605	-0.533719
0.327842	-0.506103
0.336079	-0.483615
0.344316	-0.461127
0.352554	-0.441716
0.360791	-0.420253
0.369028	-0.401868
0.377265	-0.385534
0.385502	-0.368174
0.39374	-0.349788
0.401977	-0.335505
0.410214	-0.322248
0.418451	-0.307965
0.426689	-0.294708
0.434926	-0.286579
0.443163	-0.275373
0.4514	-0.266218
0.459638	-0.258089
0.467875	-0.248934
0.476112	-0.239779
0.484349	-0.235753
0.492586	-0.22865
0.500824	-0.221546
0.509061	-0.21752
0.517298	-0.212467
0.525535	-0.208441
0.533773	-0.206466
0.54201	-0.201413
0.550247	-0.199438
0.558484	-0.196437
0.566722	-0.194462
0.574959	-0.191461
0.583196	-0.191537
0.591433	-0.190588
0.599671	-0.187587
0.607908	-0.187663
0.616145	-0.185687
0.624382	-0.185764
0.632619	-0.18584
0.640857	-0.183864
0.649094	-0.18394
0.657331	-0.184016
0.665568	-0.181016
0.673806	-0.181092
0.682043	-0.180142
0.69028	-0.177141
0.698517	-0.177217
0.706755	-0.175242
0.714992	-0.173267
0.723229	-0.170266
0.731466	-0.16829
0.739703	-0.16529
0.747941	-0.162289
0.756178	-0.159288
0.764415	-0.148082
0.772652	-0.134824
0.78089	-0.114388
0.789127	-0.0816432
0.797364	-0.0468475
0.805601	-0.0202568
0.813839	-0.00699954
0.822076	-0.00604993
0.830313	-0.00612597
0.83855	-0.00517636
0.846787	-0.0052524
0.855025	-0.00532843
0.863262	-0.00540447
0.871499	-0.00548051
0.879736	-0.00555654
0.887974	-0.00563258
0.896211	-0.00365733
0.904448	-0.00373337
0.912685	-0.0038094
0.920923	-0.00593672
0.92916	-0.00601276
0.937397	-0.00608879
0.945634	-0.00616483
0.953871	-0.00624087
0.962109	-0.0063169
0.970346	-0.00639294
0.978583	-0.00852026
0.98682	-0.00859629
0.995058	-0.00867233
0.204283	0.999653
0.204283	0.833499
0.205931	0.565791
0.204283	0.279653
0.204283	0.0396528
0.205931	-0.274209
0.204283	-0.431116
0.205931	-0.643439
0.204283	-0.864963
0.205931	-1.12344
0.205931	-1.27113
0.207578	-1.26192
0.205931	-1.2619
0.210873	-1.20656
